id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kelompok_pengeluaran;kode_bulan;bulan;inflasi;satuan;tahun;Cluster
1;32;JAWA BARAT;3204;KABUPATEN BANDUNG;MAKANAN, MINUMAN DAN TEMBAKAU;1;JANUARI;7.08;PERSEN;2024;5
2;32;JAWA BARAT;3204;KABUPATEN BANDUNG;PAKAIAN DAN ALAS KAKI;1;JANUARI;-0.2;PERSEN;2024;5
3;32;JAWA BARAT;3204;KABUPATEN BANDUNG;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;1;JANUARI;0.93;PERSEN;2024;5
4;32;JAWA BARAT;3204;KABUPATEN BANDUNG;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;1;JANUARI;2.09;PERSEN;2024;5
5;32;JAWA BARAT;3204;KABUPATEN BANDUNG;KESEHATAN;1;JANUARI;3.9;PERSEN;2024;5
6;32;JAWA BARAT;3204;KABUPATEN BANDUNG;TRANSPORTASI;1;JANUARI;-0.14;PERSEN;2024;5
7;32;JAWA BARAT;3204;KABUPATEN BANDUNG;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;1;JANUARI;-0.67;PERSEN;2024;5
8;32;JAWA BARAT;3204;KABUPATEN BANDUNG;REKREASI, OLAHRAGA DAN BUDAYA;1;JANUARI;1.26;PERSEN;2024;5
9;32;JAWA BARAT;3204;KABUPATEN BANDUNG;PENDIDIKAN;1;JANUARI;0.4;PERSEN;2024;5
10;32;JAWA BARAT;3204;KABUPATEN BANDUNG;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;1;JANUARI;7.87;PERSEN;2024;5
11;32;JAWA BARAT;3204;KABUPATEN BANDUNG;PERAWATAN PRIBADI DA JASA LAINNYA;1;JANUARI;6.69;PERSEN;2024;5
12;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;MAKANAN, MINUMAN DAN TEMBAKAU;1;JANUARI;6.04;PERSEN;2024;5
13;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;PAKAIAN DAN ALAS KAKI;1;JANUARI;2.76;PERSEN;2024;5
14;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;1;JANUARI;0.39;PERSEN;2024;5
15;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;1;JANUARI;-2.22;PERSEN;2024;5
16;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;KESEHATAN;1;JANUARI;0.87;PERSEN;2024;5
17;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;TRANSPORTASI;1;JANUARI;0.95;PERSEN;2024;5
18;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;1;JANUARI;-0.87;PERSEN;2024;5
19;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;REKREASI, OLAHRAGA DAN BUDAYA;1;JANUARI;0.2;PERSEN;2024;5
20;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;PENDIDIKAN;1;JANUARI;0.81;PERSEN;2024;5
21;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;1;JANUARI;2.9;PERSEN;2024;5
22;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;PERAWATAN PRIBADI DA JASA LAINNYA;1;JANUARI;0.6;PERSEN;2024;5
23;32;JAWA BARAT;3213;KABUPATEN SUBANG;MAKANAN, MINUMAN DAN TEMBAKAU;1;JANUARI;9.11;PERSEN;2024;5
24;32;JAWA BARAT;3213;KABUPATEN SUBANG;PAKAIAN DAN ALAS KAKI;1;JANUARI;1.16;PERSEN;2024;5
25;32;JAWA BARAT;3213;KABUPATEN SUBANG;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;1;JANUARI;-0.37;PERSEN;2024;5
26;32;JAWA BARAT;3213;KABUPATEN SUBANG;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;1;JANUARI;0.75;PERSEN;2024;5
27;32;JAWA BARAT;3213;KABUPATEN SUBANG;KESEHATAN;1;JANUARI;0.79;PERSEN;2024;5
28;32;JAWA BARAT;3213;KABUPATEN SUBANG;TRANSPORTASI;1;JANUARI;0.91;PERSEN;2024;5
29;32;JAWA BARAT;3213;KABUPATEN SUBANG;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;1;JANUARI;-0.16;PERSEN;2024;5
30;32;JAWA BARAT;3213;KABUPATEN SUBANG;REKREASI, OLAHRAGA DAN BUDAYA;1;JANUARI;7.55;PERSEN;2024;5
31;32;JAWA BARAT;3213;KABUPATEN SUBANG;PENDIDIKAN;1;JANUARI;0.82;PERSEN;2024;5
32;32;JAWA BARAT;3213;KABUPATEN SUBANG;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;1;JANUARI;5.19;PERSEN;2024;5
33;32;JAWA BARAT;3213;KABUPATEN SUBANG;PERAWATAN PRIBADI DA JASA LAINNYA;1;JANUARI;8.85;PERSEN;2024;5
34;32;JAWA BARAT;3271;KOTA BOGOR;MAKANAN, MINUMAN DAN TEMBAKAU;1;JANUARI;5.56;PERSEN;2024;2
35;32;JAWA BARAT;3271;KOTA BOGOR;PAKAIAN DAN ALAS KAKI;1;JANUARI;4.27;PERSEN;2024;2
36;32;JAWA BARAT;3271;KOTA BOGOR;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;1;JANUARI;2.35;PERSEN;2024;2
37;32;JAWA BARAT;3271;KOTA BOGOR;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;1;JANUARI;0.75;PERSEN;2024;2
38;32;JAWA BARAT;3271;KOTA BOGOR;KESEHATAN;1;JANUARI;1.42;PERSEN;2024;2
39;32;JAWA BARAT;3271;KOTA BOGOR;TRANSPORTASI;1;JANUARI;1.55;PERSEN;2024;2
40;32;JAWA BARAT;3271;KOTA BOGOR;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;1;JANUARI;0.53;PERSEN;2024;2
41;32;JAWA BARAT;3271;KOTA BOGOR;REKREASI, OLAHRAGA DAN BUDAYA;1;JANUARI;0.74;PERSEN;2024;2
42;32;JAWA BARAT;3271;KOTA BOGOR;PENDIDIKAN;1;JANUARI;0.84;PERSEN;2024;2
43;32;JAWA BARAT;3271;KOTA BOGOR;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;1;JANUARI;0.74;PERSEN;2024;2
44;32;JAWA BARAT;3271;KOTA BOGOR;PERAWATAN PRIBADI DA JASA LAINNYA;1;JANUARI;5.51;PERSEN;2024;2
45;32;JAWA BARAT;3272;KOTA SUKABUMI;MAKANAN, MINUMAN DAN TEMBAKAU;1;JANUARI;6.0;PERSEN;2024;2
46;32;JAWA BARAT;3272;KOTA SUKABUMI;PAKAIAN DAN ALAS KAKI;1;JANUARI;3.54;PERSEN;2024;2
47;32;JAWA BARAT;3272;KOTA SUKABUMI;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;1;JANUARI;-0.17;PERSEN;2024;2
48;32;JAWA BARAT;3272;KOTA SUKABUMI;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;1;JANUARI;0.9;PERSEN;2024;2
49;32;JAWA BARAT;3272;KOTA SUKABUMI;KESEHATAN;1;JANUARI;3.48;PERSEN;2024;2
50;32;JAWA BARAT;3272;KOTA SUKABUMI;TRANSPORTASI;1;JANUARI;1.56;PERSEN;2024;2
51;32;JAWA BARAT;3272;KOTA SUKABUMI;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;1;JANUARI;-0.05;PERSEN;2024;2
